"Movies_name","Movies_url","Movies_Amount","Movies_Genre","Movies_Metascore","Movies_Rating"
"White Heat","https://www.imdb.com/title/tt0042041/?ref_=adv_li_tt","","Action, Crime, Drama","","8.2"
"The Treasure of the Sierra Madre","https://www.imdb.com/title/tt0040897/?ref_=adv_li_tt","$5.01M","Adventure, Drama, Western","98 Metascore","8.2"
"The Red Shoes","https://www.imdb.com/title/tt0040725/?ref_=adv_li_tt","$10.90M","Drama, Music, Romance","","8.2"
"The Passion of Joan of Arc","https://www.imdb.com/title/tt0019254/?ref_=adv_li_tt","$0.02M","Biography, Drama, History","","8.2"
"The Gold Rush","https://www.imdb.com/title/tt0015864/?ref_=adv_li_tt","$5.45M","Adventure, Comedy, Drama","","8.2"
"Sherlock Jr.","https://www.imdb.com/title/tt0015324/?ref_=adv_li_tt","$0.98M","Action, Comedy, Romance","","8.2"
"The Handmaiden","https://www.imdb.com/title/tt4016934/?ref_=adv_li_tt","$2.01M","Drama, Romance, Thriller","84 Metascore","8.1"
"Logan","https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt","$226.28M","Action, Drama, Sci-Fi","77 Metascore","8.1"
"Wild Tales","https://www.imdb.com/title/tt3011894/?ref_=adv_li_tt","$3.11M","Comedy, Drama, Thriller","77 Metascore","8.1"
"The Grand Budapest Hotel","https://www.imdb.com/title/tt2278388/?ref_=adv_li_tt","$59.10M","Adventure, Comedy, Crime","88 Metascore","8.1"
"Gone Girl","https://www.imdb.com/title/tt2267998/?ref_=adv_li_tt","$167.77M","Drama, Mystery, Thriller","79 Metascore","8.1"
"Hacksaw Ridge","https://www.imdb.com/title/tt2119532/?ref_=adv_li_tt","$67.21M","Biography, Drama, History","71 Metascore","8.1"
"12 Years a Slave","https://www.imdb.com/title/tt2024544/?ref_=adv_li_tt","$56.67M","Biography, Drama, History","96 Metascore","8.1"
"Rush","https://www.imdb.com/title/tt1979320/?ref_=adv_li_tt","$26.95M","Biography, Drama, Sport","75 Metascore","8.1"
"Spotlight","https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt","$45.06M","Biography, Crime, Drama","93 Metascore","8.1"
"The Help","https://www.imdb.com/title/tt1454029/?ref_=adv_li_tt","$169.71M","Drama","62 Metascore","8.1"
"Prisoners","https://www.imdb.com/title/tt1392214/?ref_=adv_li_tt","$61.00M","Crime, Drama, Mystery","74 Metascore","8.1"
"Mad Max: Fury Road","https://www.imdb.com/title/tt1392190/?ref_=adv_li_tt","$154.06M","Action, Adventure, Sci-Fi","90 Metascore","8.1"
"Gran Torino","https://www.imdb.com/title/tt1205489/?ref_=adv_li_tt","$148.10M","Drama","72 Metascore","8.1"
"Harry Potter and the Deathly Hallows: Part 2","https://www.imdb.com/title/tt1201607/?ref_=adv_li_tt","$381.01M","Adventure, Drama, Fantasy","87 Metascore","8.1"
"Shutter Island","https://www.imdb.com/title/tt1130884/?ref_=adv_li_tt","$128.01M","Mystery, Thriller","63 Metascore","8.1"
"Hachi: A Dog's Tale","https://www.imdb.com/title/tt1028532/?ref_=adv_li_tt","","Drama, Family","","8.1"
"Mary and Max","https://www.imdb.com/title/tt0978762/?ref_=adv_li_tt","","Animation, Comedy, Drama","","8.1"
"How to Train Your Dragon","https://www.imdb.com/title/tt0892769/?ref_=adv_li_tt","$217.58M","Animation, Action, Adventure","74 Metascore","8.1"
"Into the Wild","https://www.imdb.com/title/tt0758758/?ref_=adv_li_tt","$18.35M","Adventure, Biography, Drama","73 Metascore","8.1"
"No Country for Old Men","https://www.imdb.com/title/tt0477348/?ref_=adv_li_tt","$74.28M","Crime, Drama, Thriller","91 Metascore","8.1"
"There Will Be Blood","https://www.imdb.com/title/tt0469494/?ref_=adv_li_tt","$40.22M","Drama","93 Metascore","8.1"
"Million Dollar Baby","https://www.imdb.com/title/tt0405159/?ref_=adv_li_tt","$100.49M","Drama, Sport","86 Metascore","8.1"
"Hotel Rwanda","https://www.imdb.com/title/tt0395169/?ref_=adv_li_tt","$23.53M","Biography, Drama, History","79 Metascore","8.1"
"Memories of Murder","https://www.imdb.com/title/tt0353969/?ref_=adv_li_tt","$0.01M","Action, Crime, Drama","82 Metascore","8.1"
